fips,Total Cases,Total Deaths,Count
54021.0,378,0,51
54015.0,153,0,40
54013.0,79,0,50
54011.0,3403,0,78
54009.0,238,0,69
54007.0,123,0,68
54005.0,486,0,68
53075.0,1341,0,85
54031.0,1408,0,76
20005.0,933,0,77
48223.0,947,0,82
48207.0,78,0,31
45087.0,2133,0,82
45073.0,2568,0,84
45009.0,1207,0,76
45001.0,2305,0,88
42121.0,603,0,78
42113.0,120,0,72
42105.0,380,0,87
42053.0,476,0,74
42039.0,1542,0,81
42033.0,1860,0,83
42023.0,120,0,79
41063.0,114,0,76
41061.0,393,0,87
41057.0,424,0,81
41055.0,71,0,71
41049.0,665,0,80
41041.0,1829,0,82
41037.0,46,0,19
41035.0,2726,0,100
41031.0,1553,0,62
41029.0,4102,0,100
41027.0,1241,0,84
41025.0,48,0,48
46003.0,713,0,80
41023.0,87,0,87
46009.0,391,0,96
46015.0,45,0,12
46071.0,78,0,22
46069.0,76,0,63
46067.0,267,0,79
46065.0,932,0,84
46061.0,29,0,12
46059.0,103,0,50
46057.0,230,0,79
46053.0,15,0,15
46051.0,381,0,40
46049.0,170,0,80
46047.0,199,0,78
46045.0,48,0,17
46043.0,101,0,49
46041.0,15,0,11
46039.0,79,0,79
46037.0,511,0,47
46033.0,14,0,11
46031.0,184,0,67
46029.0,1616,0,84
46027.0,1014,0,78
46025.0,200,0,78
46023.0,693,0,97
46017.0,548,0,48
46011.0,1006,0,83
46077.0,59,0,17
41019.0,1751,0,99
41015.0,333,0,70
40025.0,55,0,55
40011.0,217,0,42
40009.0,355,0,77
40007.0,1053,0,69
40005.0,140,0,74
40003.0,63,0,63
39161.0,320,0,79
39145.0,812,0,70
39131.0,332,0,79
39125.0,659,0,70
39121.0,329,0,67
39115.0,303,0,70
39105.0,245,0,69
39091.0,1791,0,84
39079.0,581,0,68
39069.0,645,0,68
39067.0,432,0,61
39051.0,2041,0,80
39047.0,1786,0,82
39031.0,1827,0,90
39005.0,957,0,89
38105.0,1203,0,76
38103.0,168,0,54
40029.0,79,0,27
41017.0,6884,0,96
40035.0,848,0,81
40043.0,152,0,69
41013.0,193,0,73
41011.0,1461,0,65
41009.0,1050,0,80
41007.0,1839,0,83
41001.0,42,0,40
40153.0,191,0,74
40151.0,187,0,59
40149.0,54,0,32
40127.0,121,0,49
40111.0,1381,0,81
40107.0,163,0,66
40103.0,520,0,85
40099.0,173,0,66
40095.0,332,0,69
40085.0,519,0,77
40075.0,335,0,74
40073.0,622,0,74
40069.0,189,0,62
40067.0,179,0,70
40063.0,43,0,17
40061.0,295,0,59
40059.0,58,0,58
40053.0,138,0,73
40039.0,1096,0,88
46081.0,734,0,80
46083.0,11904,0,82
